Nr;Titel;Jahr;Regissure;Hauptdarsteller;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;Zuschauerzahlen;YT-Link;App-Link;App-Link_Video-1;App-Link_Video-2;App-Link_Video-3;QR-Cod Pfad;;;;;;
026;The Lord of the Rings: The Two Towers;2002;Peter Jackson;Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis;Ja;8,8;New Line Cinema;Abenteuer, Fantasy, Action;$926,287,400;;https://www.youtube.com/watch?v=LbfMDwc4azU;filmster://result?id=026;https://filmster-stream.b-cdn.net/videos/Filmster_026_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_026_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_026_Video-3.mp4;qr_codes/Filmster_026_QR.png;;;;;;
027;Black Panther;2018;Ryan Coogler;Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman;Nein;7,3;Marvel Studios;Action, Abenteuer, Science Fiction;$1,349,926,083;;https://www.youtube.com/watch?v=xjDjIWPwcPU;filmster://result?id=027;https://filmster-stream.b-cdn.net/videos/Filmster_027_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_027_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_027_Video-3.mp4;qr_codes/Filmster_027_QR.png;;;;;;
028;Frozen II;2019;Jennifer Lee;Idina Menzel, Kristen Bell, Josh Gad, Jonathan Groff, Evan Rachel Wood;Nein;6,8;Walt Disney Pictures;Familie, Animation, Abenteuer, Komedie, Fantasy;$1,453,683,476;;https://www.youtube.com/watch?v=Zi4LMpSDccc;filmster://result?id=028;https://filmster-stream.b-cdn.net/videos/Filmster_028_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_028_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_028_Video-3.mp4;qr_codes/Filmster_028_QR.png;;;;;;
029;The Lord of the Rings: The Fellowship of the Ring;2001;Peter Jackson;Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm;Ja;8,9;New Line Cinema;Abenteuer, Fantasy, Action;$871,368,364;;https://www.youtube.com/watch?v=V75dMMIW2B4;filmster://result?id=029;https://filmster-stream.b-cdn.net/videos/Filmster_029_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_029_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_029_Video-3.mp4;qr_codes/Filmster_029_QR.png;;;;;;
030;Star Wars: Episode III , Revenge of the Sith;2005;George Lucas;Hayden Christensen, Ewan McGregor, Natalie Portman, Ian McDiarmid, Samuel L. Jackson;Nein;7,6;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$850,000,000;;https://www.youtube.com/watch?v=5UnjrG_N8hU;filmster://result?id=030;https://filmster-stream.b-cdn.net/videos/Filmster_030_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_030_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_030_Video-3.mp4;qr_codes/Filmster_030_QR.png;;;;;;
031;Despicable Me 2;2013;Chris Renaud;Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Russell Brand;Nein;7,3;Illumination;Animation, Komedie, Familie;$970,766,005;;https://www.youtube.com/watch?v=TlbnGSMJQbQ;filmster://result?id=031;https://filmster-stream.b-cdn.net/videos/Filmster_031_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_031_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_031_Video-3.mp4;qr_codes/Filmster_031_QR.png;;;;;;
032;The Avengers;2012;Joss Whedon;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson;Ja;8;Marvel Studios;Science Fiction, Action, Abenteuer;$1,518,815,515;;https://www.youtube.com/watch?v=eOrNdBpGMv8;filmster://result?id=032;https://filmster-stream.b-cdn.net/videos/Filmster_032_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_032_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_032_Video-3.mp4;qr_codes/Filmster_032_QR.png;;;;;;
033;The Incredibles;2004;Brad Bird;Craig T. Nelson, Holly Hunter, Sarah Vowell, Spencer Fox, Jason Lee;Ja;8;Walt Disney Pictures;Action, Abenteuer, Animation, Familie;$631,442,092;;https://www.youtube.com/watch?v=-UaGUdNJdRQ;filmster://result?id=033;https://filmster-stream.b-cdn.net/videos/Filmster_033_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_033_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_033_Video-3.mp4;qr_codes/Filmster_033_QR.png;;;;;;
034;The Fate of the Furious;2017;F. Gary Gray;Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson;Nein;6,6;Original Film;Action, Krimi, Thriller;$1,236,000,000;;https://www.youtube.com/watch?v=JwMKRevYa_M;filmster://result?id=034;https://filmster-stream.b-cdn.net/videos/Filmster_034_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_034_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_034_Video-3.mp4;qr_codes/Filmster_034_QR.png;;;;;;
035;Shrek 2;2004;Conrad Vernon;Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, Antonio Banderas;Nein;7,4;DreamWorks Animation;Animation, Familie, Komedie, Fantasy, Abenteuer;$935,454,538;;https://www.youtube.com/watch?v=xBgSfhp5Fxo;filmster://result?id=035;https://filmster-stream.b-cdn.net/videos/Filmster_035_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_035_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_035_Video-3.mp4;qr_codes/Filmster_035_QR.png;;;;;;
036;Ice Age: Dawn of the Dinosaurs;2009;Carlos Saldanha;Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Simon Pegg;Nein;6,9;Blue Sky Studios;Animation, Komedie, Familie, Abenteuer;$886,686,817;;https://www.youtube.com/watch?v=MnAi5u-k9NY;filmster://result?id=036;https://filmster-stream.b-cdn.net/videos/Filmster_036_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_036_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_036_Video-3.mp4;qr_codes/Filmster_036_QR.png;;;;;;
037;Skyfall;2012;Sam Mendes;Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris;Nein;7,8;Metro-Goldwyn-Mayer;Action, Abenteuer, Thriller;$1,108,594,176;;https://www.youtube.com/watch?v=6kw1UVovByw;filmster://result?id=037;https://filmster-stream.b-cdn.net/videos/Filmster_037_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_037_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_037_Video-3.mp4;qr_codes/Filmster_037_QR.png;;;;;;
038;Spectre;2015;Sam Mendes;Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes, Monica Bellucci;Nein;6,8;Metro-Goldwyn-Mayer;Action, Abenteuer, Thriller;$880,707,597;;https://www.youtube.com/watch?v=ujmoYyEyDP8;filmster://result?id=038;https://filmster-stream.b-cdn.net/videos/Filmster_038_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_038_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_038_Video-3.mp4;qr_codes/Filmster_038_QR.png;;;;;;
039;Inside Out;2015;Pete Docter;Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black;Ja;8,1;Pixar;Animation, Familie, Abenteuer, Drama, Komedie;$857,611,174;;https://www.youtube.com/watch?v=yRUAzGQ3nSY;filmster://result?id=039;https://filmster-stream.b-cdn.net/videos/Filmster_039_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_039_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_039_Video-3.mp4;qr_codes/Filmster_039_QR.png;;;;;;
040;Zootopia;2016;Byron Howard;Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence;Ja;8;Walt Disney Animation Studios;Animation, Abenteuer, Familie, Komedie;$1,023,784,195;;https://www.youtube.com/watch?v=jWM0ct-OLsM;filmster://result?id=040;https://filmster-stream.b-cdn.net/videos/Filmster_040_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_040_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_040_Video-3.mp4;qr_codes/Filmster_040_QR.png;;;;;;
041;The Secret Life of Pets;2016;Chris Renaud;Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper;Nein;6,5;Illumination;Familie, Komedie, Abenteuer, Animation;$875,457,937;;https://www.youtube.com/watch?v=i-80SGWfEjM;filmster://result?id=041;https://filmster-stream.b-cdn.net/videos/Filmster_041_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_041_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_041_Video-3.mp4;qr_codes/Filmster_041_QR.png;;;;;;
042;Ice Age;2002;Chris Wedge;Ray Romano, John Leguizamo, Denis Leary, Goran Višnjić, Jack Black;Nein;7,5;Blue Sky Studios;Animation, Komedie, Familie, Abenteuer;$383,257,136;;https://www.youtube.com/watch?v=i4noiCRJRoE;filmster://result?id=042;https://filmster-stream.b-cdn.net/videos/Filmster_042_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_042_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_042_Video-3.mp4;qr_codes/Filmster_042_QR.png;;;;;;
043;Aladdin;2019;Guy Ritchie;Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari, Navid Negahban;Nein;6,9;Walt Disney Pictures;Abenteuer, Fantasy, Liebesfilm, Familie;$1,097,831,681;;https://www.youtube.com/watch?v=JcMtWwiyzpU;filmster://result?id=043;https://filmster-stream.b-cdn.net/videos/Filmster_043_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_043_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_043_Video-3.mp4;qr_codes/Filmster_043_QR.png;;;;;;
044;Moana;2016;John Musker;Auliʻi Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison, Jemaine Clement;Nein;7,6;Walt Disney Pictures;Abenteuer, Komedie, Familie, Animation;$690,860,472;;https://www.youtube.com/watch?v=LKFuXETZUsI;filmster://result?id=044;https://filmster-stream.b-cdn.net/videos/Filmster_044_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_044_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_044_Video-3.mp4;qr_codes/Filmster_044_QR.png;;;;;;
045;Joker;2019;Todd Phillips;Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen;Ja;8,3;Warner Bros. Pictures;Krimi, Thriller, Drama;$1,078,958,629;;https://www.youtube.com/watch?v=zAGVQLHvwOY;filmster://result?id=045;https://filmster-stream.b-cdn.net/videos/Filmster_045_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_045_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_045_Video-3.mp4;qr_codes/Filmster_045_QR.png;;;;;;
046;Star Wars: The Rise of Skywalker;2019;J.J. Abrams;Carrie Fisher, Mark Hamill, Daisy Ridley, Adam Driver, John Boyega;Nein;;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$1,074,144,248;;https://www.youtube.com/watch?v=8Qn_spdM5Zg;filmster://result?id=046;https://filmster-stream.b-cdn.net/videos/Filmster_046_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_046_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_046_Video-3.mp4;qr_codes/Filmster_046_QR.png;;;;;;
047;Up;2009;Pete Docter;Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo;Ja;8,3;Pixar;Animation, Komedie, Familie, Abenteuer;$735,099,082;;https://www.youtube.com/watch?v=HWEW_qTLSEE;filmster://result?id=047;https://filmster-stream.b-cdn.net/videos/Filmster_047_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_047_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_047_Video-3.mp4;qr_codes/Filmster_047_QR.png;;;;;;
048;Tangled;2010;Nathan Greno;Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey;Nein;7,7;Walt Disney Animation Studios;Animation, Familie, Abenteuer;$592,461,732;;https://www.youtube.com/watch?v=gsYKF8ecC8g;filmster://result?id=048;https://filmster-stream.b-cdn.net/videos/Filmster_048_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_048_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_048_Video-3.mp4;qr_codes/Filmster_048_QR.png;;;;;;
049;Monsters, Inc.;2001;Pete Docter;John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn;Ja;8,1;Pixar;Animation, Komedie, Familie;$579,700,000;;https://www.youtube.com/watch?v=CGbgaHoapFM;filmster://result?id=049;https://filmster-stream.b-cdn.net/videos/Filmster_049_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_049_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_049_Video-3.mp4;qr_codes/Filmster_049_QR.png;;;;;;
